target;BJD;RV_mlc_nzp;e_RV_mlc_nzp;RV_drs_nzp;e_RV_drs_nzp;RV_mlc;e_RV_mlc;RV_drs;e_RV_drs;RV_mlc_j;e_RV_mlc_j;CRX;e_CRX;dLW;e_dLW;Halpha;e_Halpha;NaD1;e_NaD1;NaD2;e_NaD2;f_RV;FWHM_DRS;CONTRAST_DRS;BIS;RVGUESS;SNR_DRS;BJD_DRS;BERV;BERV_DRS;DRIFT;e_DRIFT;SA;NZP_mlc;dNZP_mlc;NZP_drs;dNZP_drs;TMMEAN;EXPTIME;MLCRX;E_MLCRX;TIMEID;DRIFT_LAMP;MASK;PROGID;PROGPI;AIRMASS;OBHAB;THAR_FP;DPR_TYPE
HD142527;2454594.86053;276.592;3.587;-1384.807;1.668;89.5489810256;3.47906591737;-1384.84438207;1.33349231848;89.5489810256;3.47906591737;3011.0989871900465;1877.127632513541;3.63017635896;1.63617728029;2.3809182358221457;0.0019719780776846284;1.001563958185665;0.001806932689492427;1.0895158901102995;0.002080489362658448;0;248.417706871;26.7803100795;0.0;0.0;102.0;2454594.85989;8.63226116213;8.62776515174;0.0;-9999999;0.000;-0.120;0.873;-0.037;-9999999;0.46;600.0;-23.0239628077;140.723862354;2008-05-08T08:26:04.800;-9999999;G2;081.C-0779(A);UNKNOWN;-9999999;HARPS_ech_obs_all;HARPS_ech_obs_objA;STAR,DARK,NONE
HD142527;2454595.58561;461.811;3.083;-1430.683;1.587;274.846369598;2.95745956076;-1430.18630576;1.22953529609;274.846369598;2.95745956076;-14.564480886187631;63.329595068002;-0.10561503057;1.05367821766;2.3536365592418194;0.0017199039253611068;1.000901654214276;0.0015998694238930566;1.0856914408947858;0.0018348609495563765;0;242.591055367;24.1042942695;0.0;0.0;116.2;2454595.58498;8.75929595777;8.75481828499;0.0;-9999999;0.000;-0.041;0.873;0.497;-9999999;0.51;600.0;-18.4349236506;74.0483544245;2008-05-09T01:49:39.447;-9999999;G2;081.C-0779(A);UNKNOWN;-9999999;HARPS_ech_obs_all;HARPS_ech_obs_objA;STAR,DARK,NONE
HD142527;2454595.72179;738.861;3.468;-1355.209;1.683;551.857304565;3.35615694579;-1354.97739738;1.35198328911;551.857304565;3.35615694579;-195.49666505669035;125.65789486453954;1.81961832029;1.78644351219;2.333138477470675;0.0019324606810950612;1.0086969580693033;0.001807648983241625;1.0893714608228997;0.002046334195573878;0;302.911544853;34.1875529065;0.0;0.0;103.5;2454595.72115;8.48076711593;8.47619787956;0.0;-9999999;0.000;-0.080;0.873;0.232;-9999999;0.46;600.0;-932.113814358;525.977296927;2008-05-09T05:06:15.590;-9999999;G2;081.C-0779(A);UNKNOWN;-9999999;HARPS_ech_obs_all;HARPS_ech_obs_objA;STAR,DARK,NONE
HD142527;2454595.89656;400.255;5.318;-1145.973;1.999;213.200680569;5.2461445623;-1146.07976561;1.72873822103;213.200680569;5.2461445623;-261.0098912008988;103.14830253168522;-0.631119166064;1.85039490457;2.275153757554221;0.0028463087460715783;1.0060039020060316;0.002762695063661689;1.105789173042076;0.0031619122788078013;0;239.552183636;25.8155131812;0.0;0.0;67.7;2454595.89591;8.12125332383;8.11681148932;0.0;-9999999;0.000;-0.130;0.873;-0.107;-9999999;0.45;600.0;-927.843641435;457.980696484;2008-05-09T09:18:01.159;-9999999;G2;081.C-0779(A);UNKNOWN;-9999999;HARPS_ech_obs_all;HARPS_ech_obs_objA;STAR,DARK,NONE
HD142527;2454596.57943;181.622;2.939;-1956.451;1.567;-5.34533021826;2.80641938893;-1955.9379227;1.20394358386;-5.34533021826;2.80641938893;-0.49821503921451754;112.36382549120528;-2.85244910907;1.11750403745;2.1172859549571066;0.001551258589818988;0.9748006905731574;0.0015025289909607216;1.0708456846556786;0.0017586307204856785;0;48.52363031;1.69770489023;-3.72772542814;0.0;120.9;2454596.5788;8.3157425268;8.31127505849;0.0;-9999999;0.000;-0.043;0.873;0.513;-9999999;0.49;600.0;-4.74097535677;47.1802155199;2008-05-10T01:40:55.620;-9999999;G2;081.C-0779(A);UNKNOWN;-9999999;HARPS_ech_obs_all;HARPS_ech_obs_objA;STAR,DARK,NONE
HD142527;2454596.76257;-102.344;3.676;-1784.948;1.728;-289.363311228;3.57074350334;-1784.78971721;1.4074122947;-289.363311228;3.57074350334;102.84704686123553;32.6118796313159;-4.40977607373;1.25288865572;2.0875875953978973;0.001945780203944204;0.9783850297381319;0.0019007865506455678;1.0690622296763401;0.0021946540115779034;0;269.019322516;28.6772688675;0.0;0.0;95.8;2454596.76193;7.930153866;7.92558181663;0.0;-9999999;0.000;-0.095;0.873;0.158;-9999999;0.49;420.0;108.375081717;38.5012614478;2008-05-10T06:06:06.495;-9999999;G2;081.C-0779(A);UNKNOWN;-9999999;HARPS_ech_obs_all;HARPS_ech_obs_objA;STAR,DARK,NONE
HD142527;2454596.86497;-173.336;3.148;-1287.727;1.617;-360.383737084;3.02510234888;-1287.76820225;1.26943417841;-360.383737084;3.02510234888;1692.9941978721067;1585.7570905677846;-1.79301954885;1.08472704294;2.056760770405284;0.0016359860290647826;0.9750130644624893;0.0016187512046494613;1.072454791172766;0.001857074125966219;0;235.642074568;25.7441853132;0.0;0.0;113.5;2454596.86433;7.71781876062;7.71333092853;0.0;-9999999;0.000;-0.124;0.873;-0.041;-9999999;0.48;420.0;514.548076573;535.17136851;2008-05-10T08:33:37.925;-9999999;G2;081.C-0779(A);UNKNOWN;-9999999;HARPS_ech_obs_all;HARPS_ech_obs_objA;STAR,DARK,NONE
HD142527;2454874.83068;-387.077;3.380;-2613.991;1.643;-574.842497745;3.26454302293;-2615.44484068;1.30201182473;-574.842497745;3.26454302293;9.765950993637404;50.62379935660405;0.564550778108;1.04788382248;2.5939236354708917;0.002035508209449261;1.042249287314315;0.0017816499942826173;1.1417781209876925;0.0020261982461275943;0;37.6742316521;1.18909243132;-37.8938600398;-99999.0;106.8;2454874.83004;27.5923674268;27.5873975927;0.0;-9999999;0.002;-0.841;0.873;-1.456;-9999999;0.54;480.0;14.9556995253;57.7386389195;2009-02-12T07:52:24.856;-9999999;G2;082.C-0390(A);UNKNOWN;-9999999;HARPS_ech_obs_all;HARPS_ech_obs_objA;STAR,DARK,NONE
HD142527;2454875.84546;-694.771;3.967;-355.749;1.741;-882.434471254;3.86970082524;-357.128947112;1.42367148602;-882.434471254;3.86970082524;-822.5890115150066;1114.991223663958;2.50085289789;1.51967571294;2.7821255681578165;0.0024762243708234717;1.046468190408863;0.0020685976255650257;1.1366912247954468;0.0023698166176760057;0;44.7216929137;1.57195166778;-4.92716739341;-99999.0;92.1;2454875.84481;27.6727061396;27.6677479265;0.0;-9999999;0.002;-0.740;0.873;-1.382;-9999999;0.46;480.0;1371.63552316;636.164636225;2009-02-13T08:14:12.572;-9999999;G2;082.C-0390(A);UNKNOWN;-9999999;HARPS_ech_obs_all;HARPS_ech_obs_objA;STAR,DARK,NONE
HD142527;2454876.80241;76.040;4.435;-1309.326;1.749;-111.51472117;4.34846966803;-1310.53164046;1.43263944514;-111.51472117;4.34846966803;-1962.2795865846788;1547.2753362522878;3.09963195297;1.30625520322;2.7793235872421613;0.0026032417026845634;1.0414230545268912;0.002192198366351678;1.14646950140556;0.0025288395896872896;0;38.1767117858;1.710334317;1.79507203687;-99999.0;87.3;2454876.80175;27.812386577;27.8074673251;0.0;-9999999;0.002;-0.631;0.873;-1.208;-9999999;0.46;480.0;-118.860385966;226.622250543;2009-02-14T07:12:05.028;-9999999;G2;082.C-0390(A);UNKNOWN;-9999999;HARPS_ech_obs_all;HARPS_ech_obs_objA;STAR,DARK,NONE
HD142527;2454877.82737;-200.770;3.343;-1597.886;1.620;-388.266333578;3.22674417165;-1599.01283806;1.27285234354;-388.266333578;3.22674417165;-828.9899384632357;1029.4099383494677;0.349665583234;1.31466801091;2.7062844285601617;0.002061076836679812;1.0417956699569746;0.001745187236485275;1.146909560449074;0.0020151321967185488;0;50.724210687;2.49684652621;16.668545694;-99999.0;108.3;2454877.82671;27.8681905994;27.8632483927;0.0;-9999999;0.002;-0.572;0.873;-1.129;-9999999;0.47;480.0;11.5279628886;177.543727688;2009-02-15T07:47:48.801;-9999999;G2;082.C-0390(A);UNKNOWN;-9999999;HARPS_ech_obs_all;HARPS_ech_obs_objA;STAR,DARK,NONE
HD142527;2454891.79465;8.115;3.548;-978.361;1.672;-178.604771209;3.43919871753;-978.980799385;1.3383702153;-178.604771209;3.43919871753;-46.650847232743686;35.92137425227187;-0.525734885491;1.26960977671;2.5490791259092775;0.002124236274777839;1.0503222185152188;0.0018735128158216797;1.143403330748076;0.002150824205398902;0;378.35134364;50.6753559753;0.0;-99999.0;101.3;2454891.794;28.1485605382;28.143663552;0.0;-9999999;0.002;0.204;0.873;-0.622;-9999999;0.51;480.0;-46.9670000809;46.2613422961;2009-03-01T06:58:30.012;-9999999;G2;082.C-0427(C);UNKNOWN;-9999999;HARPS_ech_obs_all;HARPS_ech_obs_objA;STAR,DARK,NONE
HD142527;2454892.8358;-126.940;3.057;-1988.513;1.603;-313.617457085;2.93021502861;-1989.19544746;1.2510655356;-313.617457085;2.93021502861;-0.2633780820132665;23.250379295997732;0.828337462585;1.21524591946;2.4932807874350993;0.0018095318601952968;1.0320267429095047;0.001595457747101197;1.1215361448088181;0.001828111663893216;0;253.828205627;30.3117878187;0.0;-99999.0;117.2;2454892.83515;28.0340195738;28.0291036993;0.0;-9999999;0.002;0.247;0.873;-0.684;-9999999;0.47;480.0;5.71298803581;35.4692357794;2009-03-02T07:57:56.684;-9999999;G2;082.C-0427(C);UNKNOWN;-9999999;HARPS_ech_obs_all;HARPS_ech_obs_objA;STAR,DARK,NONE
HD142527;2454894.90141;-474.483;3.601;-472.314;1.686;-661.228612595;3.49428412689;-472.781456367;1.35587593303;-661.228612595;3.49428412689;-3982.3482997268375;1870.4155379092192;4.57080502754;1.67186025284;2.5485441688455674;0.002099281603632951;1.0477762283381533;0.001860694013067921;1.1237765946793208;0.0021108552009926457;0;392.861937349;47.5498156512;0.0;-99999.0;102.9;2454894.90076;27.7819739691;27.7770400413;0.0;-9999999;0.002;0.177;0.873;-0.469;-9999999;0.49;480.0;41.9977788903;174.003785625;2009-03-04T09:31:59.018;-9999999;G2;082.C-0427(C);UNKNOWN;-9999999;HARPS_ech_obs_all;HARPS_ech_obs_objA;STAR,DARK,NONE
